P,v,t,h,Density,Neg_Roughness,Neg_Time
128.21243405342102,745.8447933197021,0.11485312461853028,0.2900526762008667,0.9629139951089477,-5.65895627859056,-36.7869663460662
132.30826258659363,425.6101608276367,0.1019797420501709,0.10585490465164185,0.9260918149490899,-5.316278677581428,-96.53202451015886
117.33977198600769,224.8124122619629,0.11260726451873779,0.3621152102947236,0.9532195606959963,-5.871545284675803,-29.91214728349963
104.59425449371338,239.0026569366455,0.1127838921546936,0.2029018580913544,0.9395795783323025,-5.538767730694806,-51.582429294576656
71.63492441177368,406.2778949737549,0.1002383828163147,0.17678769230842592,0.9575863401117611,-5.428863246185899,-58.5944050209055
86.7750346660614,270.2697277069092,0.10986159086227418,0.10367053151130677,0.9244086891402701,-5.317300109115889,-98.69365825135901
135.27672290802002,634.1946601867676,0.11965321302413941,0.21436506509780887,0.9587178035147811,-5.519274332655957,-49.058224509745386
55.9881329536438,748.2311248779297,0.12984125375747682,0.23139004707336427,0.8948252503801475,-5.515805518602322,-45.82726052730331
89.58044648170471,851.0006904602051,0.09862098932266235,0.24107949137687687,0.9597718278054366,-5.538366610992578,-43.46426480845524
63.36699724197388,962.0925903320312,0.0987993311882019,0.3102796971797943,0.8691237540841237,-5.66418647279641,-34.215366580607515
129.79376316070557,664.0729427337646,0.1037990403175354,0.21524225473403932,0.9601175358292311,-5.511474393526257,-48.55031855439271
121.85199856758118,416.6422367095947,0.12861608266830443,0.2651897430419922,0.957892772606398,-5.641975916723842,-40.305172148403024
91.23780727386475,374.5795726776123,0.10739323139190673,0.34601542949676517,0.9651849426250039,-5.785077019894684,-31.075006544977732
100.15653967857361,545.47438621521,0.107050039768219,0.39092875123023996,0.9599231163616226,-5.861137842062667,-27.739442288665867
62.57349252700806,856.2675476074219,0.09035533905029297,0.23595125079154972,0.942697876407875,-5.5161854689626715,-44.20042126871347
137.50537037849426,205.997896194458,0.0965883755683899,0.148060017824173,0.9107664952996318,-5.456453700474044,-69.52048997655675
139.93648886680603,401.0956287384033,0.09254032611846924,0.18638612031936647,0.9423076060422432,-5.480058029879475,-55.52780193170891
